lemma	adverbs	cases	comparatives	short adjectives
ličny	A	A	A	A
lihvaŕsky	A	A	B	C
lihy	A	A	I	B
lilovy	A	A	A	B
limonny	A	A	A	A
linearny	A	A	A	A
lingvističny	A	A	A	A
listny	A	A	A	A
literarny	A	A	A	A
literaturny	A	A	A	A
litȯvsky	A	A	B	C
liturgičny	A	A	A	A
livny	A	A	A	A
ljněny	A	A	A	B
ljstivy	A	A	A	B
ljubezny	A	A	A	A
ljubimy	A	A	A	B
ljubopytny	A	A	A	A
ljubȯvny	A	A	A	A
ljudny	A	A	A	A
ljudojedsky	A	A	B	C
ljudožersky	A	A	B	C
ljudsky	A	A	B	C
ljuty	A	A	A	B
logičny	A	A	A	A
lojaľny	A	A	A	A
lomlivy	A	A	A	B
lovečsky	A	A	B	C
lovny	A	A	A	A
lȯžny	A	A	A	A
ludy	A	A	A	B
lukavy	A	A	A	B
lukovy	A	A	A	B
luksemburžsky	A	A	B	C
lunny	A	A	A	A
luteransky	A	A	B	C
lužičsky	A	A	B	C
lysy	A	A	A	B
lživy	A	A	A	B
madjarsky	A	A	B	C
magičny	A	A	A	A
magnetičny	A	A	A	A
majstrovsky	A	A	B	C
makedonsky	A	A	B	C
maksimaľny	A	A	A	A
malajsky	A	A	B	C
malenjky	A	A	D	G
malinovy	A	A	A	B
malodušny	A	A	A	A
malolětny	A	A	A	A
maloljudny	A	A	A	A
maloměrny	A	A	A	A
malomȯlvny	A	A	A	A
malostlivy	A	A	A	B
malovažny	A	A	A	A
malověrny	A	A	A	A
malovodny	A	A	A	A
maltejsky	A	A	B	C
maly	A	A	O	B
mamlivy	A	A	A	B
marginaľny	A	A	A	A
marinovany	A	A	A	B
marlivy	A	A	A	B
masivny	A	A	A	A
maslinovy	A	A	A	B
masovy	A	A	A	B
mašinaľny	A	A	A	A
matematičny	A	A	A	A
materiaľny	A	A	A	A
materinsky	A	A	B	C
matersky	A	A	B	C
matovy	A	A	A	B
mėčtateljny	A	A	A	A
medly	A	A	A	B
mědny	A	A	A	A
měděny	A	A	A	B
medonosny	A	A	A	A
medovy	A	A	A	B
medvědny	A	A	A	A
međny	A	A	A	A
međudŕžavny	A	A	A	A
međugrådny	A	A	A	A
međugrådsky	A	A	B	C
međukontinentaľny	A	A	A	A
međukulturny	A	A	A	A
međuljudsky	A	A	B	C
međunarodny	A	A	A	A
međuplanetarny	A	A	A	A
međuregionaľny	A	A	A	A
međuslovjansky	A	A	B	C
međusobny	A	A	A	A
međuvrěmenny	A	A	A	A
međuzvězdny	A	A	A	A
mehaničny	A	A	A	A
měhurny	A	A	A	A
mękky	A	A	D	F
meksikansky	A	A	B	C
melanholičny	A	A	A	A
mělky	A	A	P	F
melodičny	A	A	A	A
měnlivy	A	A	A	B
mentaľny	A	A	A	A
měrny	A	A	A	A
měrodajny	A	A	A	A
měsęčny	A	A	A	A
męsisty	A	A	A	B
męsny	A	A	A	A
męsojedny	A	A	A	A
męsožerny	A	A	A	A
městny	A	A	A	A
metaličny	A	A	A	A
meteologičny	A	A	A	A
mętežny	A	A	A	A
mglisty	A	A	A	B
mikroskopičny	A	A	A	A
militantny	A	A	A	A
milosŕdny	A	A	A	A
milostivy	A	A	A	B
milovany	A	A	A	B
mily	A	A	A	B
mimičny	A	A	A	A
mimohodny	A	A	A	A
mimovoljny	A	A	A	A
minimalističny	A	A	A	A
minimaľny	A	A	A	A
minųly	A	A	A	B
mirny	A	A	A	A
mističny	A	A	A	A
mitičny	A	A	A	A
mitologičny	A	A	A	A
mlådensky	A	A	B	C
mlådežny	A	A	A	A
mlådostny	A	A	A	A
mlådy	A	A	A	B
mlavy	A	A	A	B
mlěčny	A	A	A	A
mly	A	A	A	H
mnogobarvny	A	A	A	A
mnogocentričny	A	A	A	A
mnogočisľny	A	A	A	A
mnogojęzyčny	A	A	A	A
mnogokråtny	A	A	A	A
mnogokulturny	A	A	A	A
mnogolětny	A	A	A	A
mnogoljudny	A	A	A	A
mnogoraky	A	A	E	B
mnogorěčivy	A	A	A	B
mnogoslovny	A	A	A	A
mnogosložny	A	A	A	A
mnogostrånny	A	A	A	A
mnogy	A	A	Q	B
mobiľny	A	A	A	A
močarny	A	A	A	A
modaľny	A	A	A	A
moderny	A	A	A	A
modny	A	A	A	A
modrooky	A	A	H	B
modry	A	A	A	B
modularny	A	A	A	A
mogųtny	A	A	A	A
mokry	A	A	A	B
mȯlčalivy	A	A	A	B
mȯlčny	A	A	A	A
moldavsky	A	A	B	C
molekularny	A	A	A	A
molovy	A	A	A	B
momentaľny	A	A	A	A
mongoľsky	A	A	B	C
monolitny	A	A	A	A
monumentaľny	A	A	A	A
moraľny	A	A	A	A
moravsky	A	A	B	C
morfologičny	A	A	A	A
morny	A	A	A	A
moŕsky	A	A	B	C
moskȯvsky	A	A	B	C
mozgovy	A	A	A	B
možlivy	A	A	A	B
možny	A	A	A	A
mråčny	A	A	A	A
mråzny	A	A	A	A
mråzosušeny	A	A	A	B
mråženy	A	A	A	B
mŕtvy	A	A	A	B
mŕzky	A	A	D	F
mstivy	A	A	A	B
mųčiteljny	A	A	A	A
mųdry	A	A	A	B
multikulturny	A	A	A	A
muslimansky	A	A	B	C
mųtny	A	A	A	A
muzikaľny	A	A	A	A
muzikologičny	A	A	A	A
mųžsky	A	A	B	C
myslimy	A	A	A	B
mysljenny	A	A	A	A
myšasty	A	A	A	B
nabožny	A	A	A	A
nacionalističny	A	A	A	A
nacionalsocialističny	A	A	A	A
nacističny	A	A	A	A
nadějny	A	A	A	A
nadežny	A	A	A	A
nadljudsky	A	A	B	C
nadměrny	A	A	A	A
nadnacionaľny	A	A	A	A
nadobyčajny	A	A	A	A
nadoprošćeny	A	A	A	B
nadprirodny	A	A	A	A
nadųty	A	A	A	B
naględny	A	A	A	A
nagly	A	A	A	B
nagorny	A	A	A	A
nagy	A	A	F	B
nahmurjeny	A	A	A	B
naivny	A	A	A	A
najemny	A	A	A	A
naklonjeny	A	A	A	B
naležity	A	A	A	B
naměrny	A	A	A	A
napadny	A	A	A	A
napaljeny	A	A	A	B
napęty	A	A	A	B
napråzdny	A	A	A	A
narcističny	A	A	A	A
naročity	A	A	A	B
narodny	A	A	A	A
narožny	A	A	A	A
naseljeny	A	A	A	B
nasiľny	A	A	A	A
naslědny	A	A	A	A
nastěnny	A	A	A	A
nastojčivy	A	A	A	B
nastrojevy	A	A	A	B
nastųpny	A	A	A	A
naturalističny	A	A	A	A
naturaľny	A	A	A	A
naučny	A	A	A	A
navětrny	A	A	A	A
nazadny	A	A	A	A
nazemny	A	A	A	A
naznačeny	A	A	A	B
nazvany	A	A	A	B
neadekvatny	A	A	A	A
nebesky	A	A	B	C
nebesny	A	A	A	A
nebezpečny	A	A	A	A
neblågodarny	A	A	A	A
nebogy	A	A	F	B
nebojazlivy	A	A	A	B
nebrěžny	A	A	A	A
nebsky	A	A	B	C
nebystry	A	A	A	B
nebyvaly	A	A	A	B
nečestivy	A	A	A	B
nečėstny	A	A	A	A
nečisty	A	A	A	B
nedaleky	A	A	J	B
nedavny	A	A	A	A
nedbaly	A	A	A	B
nedobry	A	A	A	B
nedopustimy	A	A	A	B
nedoråzvity	A	A	A	B
nedoslědny	A	A	A	A
nedostatȯčny	A	A	A	A
nedostojny	A	A	A	A
nedostųpny	A	A	A	A
nedotykajemy	A	A	A	B
nedovŕšeny	A	A	A	B
nedozvoljeny	A	A	A	B
nedrågy	A	A	F	B
nedŕžavny	A	A	A	A
neefektivny	A	A	A	A
neformaľny	A	A	A	A
negativny	A	A	A	A
negodny	A	A	A	A
negotovy	A	A	A	B
negramotny	A	A	A	A
negybky	A	A	D	F
neizběžny	A	A	A	A
neizgodny	A	A	A	A
neizgovorlivy	A	A	A	B
neizměnjeny	A	A	A	B
neizměnny	A	A	A	A
neizměrimy	A	A	A	B
neizvěstny	A	A	A	A
nejasny	A	A	A	A
nejlonovy	A	A	A	B
někaky	A	A	E	B
nekaznivy	A	A	A	B
nekompletny	A	A	A	A
nekrasny	A	A	A	A
něktory	A	A	A	C
nelegaľny	A	A	A	A
neljudsky	A	A	B	C
nelogičny	A	A	A	A
nemaly	A	A	A	B
němėčsky	A	A	B	C
nemilosŕdny	A	A	A	A
nemilostivy	A	A	A	B
nemily	A	A	A	B
neminujemy	A	A	A	B
nemirny	A	A	A	A
nemnogy	A	A	F	B
nemoraľny	A	A	A	A
nemožlivy	A	A	A	B
nemožny	A	A	A	A
nemŕtvy	A	A	A	B
nemųdry	A	A	A	B
němy	A	A	A	B
nenadežny	A	A	A	A
nenaměrny	A	A	A	A
nenaměrjeny	A	A	A	B
nenarušimy	A	A	A	B
nenasytny	A	A	A	A
nenaučny	A	A	A	A
nenavistny	A	A	A	A
neniščimy	A	A	A	B
nenormaľny	A	A	A	A
neobhodimy	A	A	A	B
neobjasnimy	A	A	A	B
neobjętny	A	A	A	A
neobrazovany	A	A	A	B
neobyčny	A	A	A	A
neobzrimy	A	A	A	B
neočekyvany	A	A	A	B
neodćuđimy	A	A	A	B
neodčuđajemy	A	A	A	B
neodčuđimy	A	A	A	B
neoddělimy	A	A	A	B
neodgovorny	A	A	A	A
neodložny	A	A	A	A
neodpovědaľny	A	A	A	A
neodstųpny	A	A	A	A
neodvråtimy	A	A	A	B
neoficiaľny	A	A	A	A
neograničeny	A	A	A	B
neohotny	A	A	A	A
neolitičny	A	A	A	A
neopisujemy	A	A	A	B
neoprěděljeny	A	A	A	B
neoriginaľny	A	A	A	A
neoskvŕnjeny	A	A	A	B
neosnovany	A	A	A	B
neosporimy	A	A	A	B
neostråžny	A	A	A	A
neoznačeny	A	A	A	B
nepaľsky	A	A	B	C
nepamętny	A	A	A	A
neparny	A	A	A	A
nepisany	A	A	A	B
neplodny	A	A	A	A
nepodatlivy	A	A	A	B
nepodobny	A	A	A	A
nepokorny	A	A	A	A
nepȯlnomožny	A	A	A	A
nepȯlnosposobny	A	A	A	A
nepȯlny	A	A	A	B
nepopravimy	A	A	A	B
nepopravny	A	A	A	A
neporędny	A	A	A	A
neporočny	A	A	A	A
neporušimy	A	A	A	B
neposědlivy	A	A	A	B
neposlušny	A	A	A	A
neposrědny	A	A	A	A
nepostojanny	A	A	A	A
nepotrěbny	A	A	A	A
nepoznajemy	A	A	A	B
nepozvoljeny	A	A	A	B
nepraktičny	A	A	A	A
nepravdivy	A	A	A	B
nepravdopodobny	A	A	A	A
nepraviľny	A	A	A	A
nepravy	A	A	A	B
neprědvidimy	A	A	A	B
neprědvidlivy	A	A	A	B
neprěhodny	A	A	A	A
neprěstanny	A	A	A	A
neprigodny	A	A	A	A
neprijateljsky	A	A	B	C
neprijatny	A	A	A	A
neprijemlivy	A	A	A	B
neprijemny	A	A	A	A
neprimětny	A	A	A	A
neprirodny	A	A	A	A
nepristojny	A	A	A	A
nepristųpny	A	A	A	A
nepritomny	A	A	A	A
neprivykly	A	A	A	B
neprodyšny	A	A	A	A
neprohodny	A	A	A	A
nepromokajemy	A	A	A	B
neprosty	A	A	A	B
neprozråčny	A	A	A	A
neråbotny	A	A	A	A
neracionaľny	A	A	A	A
neråvny	A	A	A	A
neråzlųčny	A	A	A	A
neråzumlivy	A	A	A	B
neråzumny	A	A	A	A
neråzvity	A	A	A	B
nerědky	A	A	D	F
nerędny	A	A	A	A
neregularny	A	A	A	A
nervny	A	A	A	A
nervozny	A	A	A	A
nesamovoljny	A	A	A	A
nesčisljeny	A	A	A	B
neskromny	A	A	A	A
neslavny	A	A	A	A
neslyhany	A	A	A	B
nesměly	A	A	A	B
nesmysľny	A	A	A	A
nesnosny	A	A	A	A
nesȯvŕšeny	A	A	A	B
nespokojny	A	A	A	A
nesposobny	A	A	A	A
nespravědlivy	A	A	A	B
nesrųčny	A	A	A	A
nestabiľny	A	A	A	A
nestaly	A	A	A	B
nesųmněny	A	A	A	B
nesvědomy	A	A	A	B
nesvęzany	A	A	A	B
neščęstlivy	A	A	A	B
neščęstny	A	A	A	A
neškodlivy	A	A	A	B
netȯčny	A	A	A	A
netolerantny	A	A	A	A
netrězvy	A	A	A	B
netŕpělivy	A	A	A	B
netŕpimy	A	A	A	B
neubojazny	A	A	A	A
neučeny	A	A	A	B
neučtivy	A	A	A	B
neudačny	A	A	A	A
neudobny	A	A	A	A
neugasimy	A	A	A	B
neuměrny	A	A	A	A
neuměstny	A	A	A	A
neumny	A	A	A	A
neumolimy	A	A	A	B
neumorjeny	A	A	A	B
neumysľny	A	A	A	A
neurodny	A	A	A	A
neuspěšny	A	A	A	A
neustaly	A	A	A	B
neustrašny	A	A	A	A
neustųplivy	A	A	A	B
neustųpny	A	A	A	A
neutěšimy	A	A	A	B
neuvěrjeny	A	A	A	B
nevažny	A	A	A	A
nevdęčny	A	A	A	A
nevědomy	A	A	A	B
neveliky	A	A	E	B
nevěrny	A	A	A	A
nevěrojętny	A	A	A	A
nevěstinsky	A	A	B	C
nevidimy	A	A	A	B
nevinny	A	A	A	A
nevinovaty	A	A	A	B
nevojnovy	A	A	A	B
nevoljny	A	A	A	A
nevrologičny	A	A	A	A
nevromorfny	A	A	A	A
nevtraľny	A	A	A	A
nezabytny	A	A	A	A
nezadovoliteljny	A	A	A	A
nezadovoljeny	A	A	A	B
nezakonny	A	A	A	A
nezaležny	A	A	A	A
nezasluženy	A	A	A	B
nezavisny	A	A	A	A
nezdråvy	A	A	A	B
nezgrabny	A	A	A	A
nezly	A	A	A	H
neznačny	A	A	A	A
neznajemy	A	A	A	B
neznany	A	A	A	B
neživy	A	A	A	B
něžny	A	A	A	A
niderlandsky	A	A	B	C
nigerijsky	A	A	B	C
nikaky	A	A	E	B
nikaraguansky	A	A	B	C
niščimy	A	A	A	B
niščiteljsky	A	A	B	C
niščivy	A	A	A	B
niševy	A	A	A	B
nizinny	A	A	A	A
nizky	A	A	D	F
nižny	A	A	A	A
nonšalantny	A	A	A	A
normaľny	A	A	A	A
norovisty	A	A	A	B
norvežsky	A	A	B	C
nosny	A	A	A	A
nosovy	A	A	A	B
nostalgičny	A	A	A	A
notoričny	A	A	A	A
novogrėčsky	A	A	B	C
novohebrejsky	A	A	B	C
novonarođeny	A	A	A	B
novoslověnsky	A	A	B	C
novozelandsky	A	A	B	C
novy	A	A	A	B
nudny	A	A	A	A
nuklearny	A	A	A	A
numeričny	A	A	A	A
nužny	A	A	A	A
nyněšny	A	A	A	A
nyrkovy	A	A	A	B
obćeslovjansky	A	A	B	C
obdarjeny	A	A	A	B
obědny	A	A	A	A
obiľny	A	A	A	A
objedinjeny	A	A	A	B
objektivny	A	A	A	A
oblåčny	A	A	A	A
oblastny	A	A	A	A
oblěčeny	A	A	A	B
obljubjeny	A	A	A	B
obly	A	A	A	J
obmeđeny	A	A	A	B
obmŕly	A	A	A	C
oboråvny	A	A	A	A
obrånny	A	A	A	A
obråtny	A	A	A	A
obrazny	A	A	A	A
obrazovany	A	A	A	B
obrazovateljny	A	A	A	A
obrazovity	A	A	A	B
obrędny	A	A	A	A
obscenny	A	A	A	A
obsęžny	A	A	A	A
obširny	A	A	A	A
obustrånny	A	A	A	A
obvęzny	A	A	A	A
obyčajny	A	A	A	A
obyčny	A	A	A	A
oceljevy	A	A	A	B
očarovany	A	A	A	B
očarovateljny	A	A	A	A
očekyvany	A	A	A	B
očevidny	A	A	A	A
očny	A	A	A	A
odčajany	A	A	A	B
oddaljeny	A	A	A	B
oddany	A	A	A	B
odděljeny	A	A	A	B
odděľny	A	A	A	A
oděty	A	A	A	B
odgovorny	A	A	A	A
odličny	A	A	A	A
odnositeljny	A	A	A	A
odomašnjeny	A	A	A	B
odporny	A	A	A	A
odpovědaľny	A	A	A	A
odrěčny	A	A	A	A
odsųtny	A	A	A	A
odučeny	A	A	A	B
odvažny	A	A	A	A
odvlěčeny	A	A	A	B
odvråtlivy	A	A	A	B
odvråtny	A	A	A	A
odzavisny	A	A	A	A
oficiaľny	A	A	A	A
ognjeny	A	A	A	B
ognjeodporny	A	A	A	A
ograničeny	A	A	A	B
ogromny	A	A	A	A
ogroženy	A	A	A	B
ohotny	A	A	A	A
ohrånny	A	A	A	A
okoličny	A	A	A	A
okoľny	A	A	A	A
okȯnny	A	A	A	A
okovany	A	A	A	B
okrajny	A	A	A	A
okrųgly	A	A	A	B
okrutny	A	A	A	A
olimpijsky	A	A	B	C
olověny	A	A	A	B
olovny	A	A	A	A
omiljeny	A	A	A	B
omŕzlivy	A	A	A	B
omŕzny	A	A	A	A
omųženy	A	A	A	B
onaky	A	A	E	B
onȯgdašny	A	A	A	A
onoliky	A	A	E	B
opačny	A	A	A	A
opasny	A	A	A	A
opcionaľny	A	A	A	A
operativny	A	A	A	A
opisateljny	A	A	A	A
oplačeny	A	A	A	B
oplođeny	A	A	A	B
oporędčeny	A	A	A	B
oporny	A	A	A	A
opravnjeny	A	A	A	B
oprěděljeny	A	A	A	B
oprętny	A	A	A	A
optimaľny	A	A	A	A
optimističny	A	A	A	A
opuhly	A	A	A	B
opuhneny	A	A	A	B
opušćeny	A	A	A	B
oranževy	A	A	A	B
orěhovy	A	A	A	B
organičny	A	A	A	A
originaľny	A	A	A	A
ornitologičny	A	A	A	A
orny	A	A	A	A
ortografičny	A	A	A	A
orųdovany	A	A	A	B
orųžny	A	A	A	A
osědly	A	A	A	B
osetinsky	A	A	B	C
ośevy	A	A	A	B
osiroćeny	A	A	A	B
oskųdny	A	A	A	A
oslabjeny	A	A	A	B
osmansky	A	A	B	C
osmysljeny	A	A	A	B
osnovateljny	A	A	A	A
osnovny	A	A	A	A
osoblivy	A	A	A	B
osobny	A	A	A	A
ostaly	A	A	A	B
ostatny	A	A	A	A
ostavjeny	A	A	A	B
ostråžny	A	A	A	A
ostry	A	A	A	B
otcevsky	A	A	B	C
otęženy	A	A	A	B
otravny	A	A	A	A
otųpěly	A	A	A	B
otvorjeny	A	A	A	B
ovaky	A	A	E	B
ovaľny	A	A	A	A
ovdověly	A	A	A	B
ověrjeny	A	A	A	B
ovoliky	A	A	E	B
ozdobny	A	A	A	A
ozemisky	A	A	B	C
ozimy	A	A	A	B
označeny	A	A	A	B
oženjeny	A	A	A	B
oživjeny	A	A	A	B
pakistansky	A	A	B	C
palestinsky	A	A	B	C
pamętny	A	A	A	A
panamsky	A	A	B	C
panslavističny	A	A	A	A
papirny	A	A	A	A
paradoksaľny	A	A	A	A
paragvajsky	A	A	B	C
paraleľny	A	A	A	A
parazitny	A	A	A	A
parižsky	A	A	B	C
parlamentarny	A	A	A	A
parny	A	A	A	A
paršivy	A	A	A	B
pasažersky	A	A	B	C
pasivny	A	A	A	A
patriotičny	A	A	A	A
pčeliny	A	A	A	B
pedagogičny	A	A	A	A
pěgavy	A	A	A	B
pekľny	A	A	A	A
pendžabsky	A	A	B	C
pěnęžny	A	A	A	A
penisovy	A	A	A	B
pensijny	A	A	A	A
penthausny	A	A	A	A
pepelavy	A	A	A	B
pepelisty	A	A	A	B
periferijny	A	A	A	A
periodičny	A	A	A	A
perovy	A	A	A	B
persijsky	A	A	B	C
personaľny	A	A	A	A
Peruansky	A	A	B	C
perversny	A	A	A	A
pesimističny	A	A	A	A
pěsȯčny	A	A	A	A
pestry	A	A	A	B
pęťdesętničsky	A	A	B	C
pijany	A	A	A	B
pijemy	A	A	A	B
pikantny	A	A	A	A
piramidovy	A	A	A	B
piromaničny	A	A	A	A
pirotehničny	A	A	A	A
pisemny	A	A	A	A
pitny	A	A	A	A
pivovarsky	A	A	B	C
plačlivy	A	A	A	B
plastičny	A	A	A	A
plastikovy	A	A	A	B
plaťbovy	A	A	A	B
plavny	A	A	A	A
plåvy	A	A	A	B
pljuševy	A	A	A	B
plodny	A	A	A	A
plosky	A	A	B	C
pobity	A	A	A	B
poblåžlivy	A	A	A	B
pobrěžny	A	A	A	A
počętkovy	A	A	A	B
poddavajemy	A	A	A	B
podly	A	A	A	B
podmoŕsky	A	A	B	C
podnebny	A	A	A	A
podobny	A	A	A	A
podporny	A	A	A	A
podrędny	A	A	A	A
podrobny	A	A	A	A
podrųčny	A	A	A	A
podsvědomy	A	A	A	B
podvodny	A	A	A	A
podzemny	A	A	A	A
podzirlivy	A	A	A	B
podzrěny	A	A	A	B
poetičny	A	A	A	A
pogansky	A	A	B	C
pograničny	A	A	A	A
pogrdlivy	A	A	A	B
pohvaľny	A	A	A	A
pohyćeny	A	A	A	B
pokazny	A	A	A	A
pokojny	A	A	A	A
pokorjeny	A	A	A	B
pokorny	A	A	A	A
pokrȯvny	A	A	A	A
polabsky	A	A	B	C
polarny	A	A	A	A
policijny	A	A	A	A
političny	A	A	A	A
politologičny	A	A	A	A
poljny	A	A	A	A
poljsky	A	A	B	C
pȯlnolětny	A	A	A	A
pȯlny	A	A	A	B
polovičny	A	A	A	A
položeny	A	A	A	B
poluostrovny	A	A	A	A
poluvojenny	A	A	A	A
pomaly	A	A	A	B
pomarančevy	A	A	A	B
poměšany	A	A	A	B
pomoŕsky	A	A	B	C
pomyljeny	A	A	A	B
ponovny	A	A	A	A
popelavy	A	A	A	B
popelisty	A	A	A	B
popoldėnny	A	A	A	A
popȯlny	A	A	A	B
popravny	A	A	A	A
poprěčny	A	A	A	A
poprědny	A	A	A	A
poprěměnny	A	A	A	A
popularny	A	A	A	A
pornografičny	A	A	A	A
porotny	A	A	A	A
portugaľsky	A	A	B	C
porųčeny	A	A	A	B
posědlivy	A	A	A	B
poslědny	A	A	A	A
poslědovateljny	A	A	A	A
poslěporodny	A	A	A	A
poslušny	A	A	A	A
posmŕtny	A	A	A	A
posoljeny	A	A	A	B
pospěšny	A	A	A	A
posrany	A	A	A	B
posrěbrjeny	A	A	A	B
posrědny	A	A	A	A
postojanny	A	A	A	A
postrånny	A	A	A	A
postųpny	A	A	A	A
posvęćeny	A	A	A	B
poškođeny	A	A	A	B
poštny	A	A	A	A
potenciaľny	A	A	A	A
potrěbny	A	A	A	A
potvŕđeny	A	A	A	B
považeny	A	A	A	B
poveliteljny	A	A	A	A
povinny	A	A	A	A
povoljny	A	A	A	A
povråtny	A	A	A	A
povrěmenny	A	A	A	A
povŕhny	A	A	A	A
povtorny	A	A	A	A
pozdny	A	A	A	A
pozemny	A	A	A	A
pozitivny	A	A	A	A
pozlåćeny	A	A	A	B
pozvolimy	A	A	A	B
požarny	A	A	A	A
poželany	A	A	A	B
pracovity	A	A	A	B
pradavny	A	A	A	A
praindoevropejsky	A	A	B	C
praktičny	A	A	A	A
praslovjansky	A	A	B	C
pravdivy	A	A	A	B
pravdopodobny	A	A	A	A
pravedny	A	A	A	A
pravičaŕsky	A	A	B	C
praviľny	A	A	A	A
pravny	A	A	A	A
pravopisny	A	A	A	A
pravorųky	A	A	E	B
pravoslavny	A	A	A	A
pravověrny	A	A	A	A
pravy	A	A	A	B
pråzdničny	A	A	A	A
pråzdnověrny	A	A	A	A
pråzdny	A	A	A	A
prědavničsky	A	A	B	C
prědběžny	A	A	A	A
prědčasny	A	A	A	A
prědgrådny	A	A	A	A
prědhistoričny	A	A	A	A
prědhodny	A	A	A	A
prědimenovany	A	A	A	B
prědložlivy	A	A	A	B
prědměstny	A	A	A	A
prědminųly	A	A	A	B
prědny	A	A	A	A
prědpoložiteljny	A	A	A	A
prědposlědny	A	A	A	A
prědpotopny	A	A	A	A
prědprimetny	A	A	A	A
prědsųdny	A	A	A	A
prědvidimy	A	A	A	B
prědvidlivy	A	A	A	B
prědvrěmenny	A	A	A	A
prěhodny	A	A	A	A
prěinačeny	A	A	A	B
prěkrasny	A	A	A	A
prělěpy	A	A	A	B
prěletny	A	A	A	A
prěměnny	A	A	A	A
prěmokųtny	A	A	A	A
prěmy	A	A	A	B
prěnosny	A	A	A	A
prěpisany	A	A	A	B
prěpȯlnjeny	A	A	A	B
prestižny	A	A	A	A
prěstrašeny	A	A	A	B
prěstųpny	A	A	A	A
pretenciozny	A	A	A	A
prěvažny	A	A	A	A
preventivny	A	A	A	A
prěvråtny	A	A	A	A
prezidentsky	A	A	B	C
prězravy	A	A	A	B
prěživimy	A	A	A	B
približeny	A	A	A	B
pričinny	A	A	A	A
pridněstrovsky	A	A	B	C
prigodny	A	A	A	A
prigraničny	A	A	A	A
prijateljsky	A	A	B	C
prijatlivy	A	A	A	B
prijatny	A	A	A	A
prijemlivy	A	A	A	B
prijemny	A	A	A	A
prilegly	A	A	A	B
priličny	A	A	A	A
primarny	A	A	A	A
priměrny	A	A	A	A
primitivny	A	A	A	A
principiaľny	A	A	A	A
prinuđeny	A	A	A	B
prirodničny	A	A	A	A
prirodny	A	A	A	A
prirųčny	A	A	A	A
pristojny	A	A	A	A
pristrastny	A	A	A	A
prisųtny	A	A	A	A
prisvojny	A	A	A	A
pritęglivy	A	A	A	B
pritomny	A	A	A	A
pritvorny	A	A	A	A
priučeny	A	A	A	B
privatny	A	A	A	A
privětlivy	A	A	A	B
prividny	A	A	A	A
privitany	A	A	A	B
privlěkateljny	A	A	A	A
privykly	A	A	A	B
privykneny	A	A	A	B
prizemny	A	A	A	A
problematičny	A	A	A	A
probny	A	A	A	A
probuđeny	A	A	A	B
produktivny	A	A	A	A
profesionaľny	A	A	A	A
proganjany	A	A	A	B
progresivny	A	A	A	A
prohlådny	A	A	A	A
prohodny	A	A	A	A
proizvoljny	A	A	A	A
proklęty	A	A	A	B
proletaŕsky	A	A	B	C
promysľny	A	A	A	A
proniklivy	A	A	A	B
proporcionaľny	A	A	A	A
proročsky	A	A	B	C
proslavjeny	A	A	A	B
prostačsky	A	A	B	C
prostrånny	A	A	A	A
prosty	A	A	A	B
prošćaľny	A	A	A	A
prošlogodišny	A	A	A	A
prošloročny	A	A	A	A
prošly	A	A	A	B
protestantsky	A	A	B	C
protetičny	A	A	A	A
protęžny	A	A	A	A
protivlegly	A	A	A	B
protivny	A	A	A	A
protivpoloženy	A	A	A	B
protivpožarny	A	A	A	A
protivrěčny	A	A	A	A
prototipičny	A	A	A	A
provinciaľny	A	A	A	A
provokatorsky	A	A	B	C
prozråčny	A	A	A	A
prųžny	A	A	A	A
pŕvobytny	A	A	A	A
pŕvonačęľny	A	A	A	A
pŕvorędny	A	A	A	A
pŕvotny	A	A	A	A
psihiatričny	A	A	A	A
psihičny	A	A	A	A
psihologičny	A	A	A	A
psihopatičny	A	A	A	A
publičny	A	A	A	A
puhovy	A	A	A	B
purpurny	A	A	A	A
pusty	A	A	A	B
pušisty	A	A	A	B
pyšny	A	A	A	A
pytlivy	A	A	A	B
råbimy	A	A	A	B
råbotničsky	A	A	B	C
råbotny	A	A	A	A
råbsky	A	A	B	C
racionalizovany	A	A	A	B
racionaľny	A	A	A	A
radikaľny	A	A	A	A
radioaktivny	A	A	A	A
radiologičny	A	A	A	A
radiovy	A	A	A	B
radostny	A	A	A	A
rady	A	A	A	B
rafinovany	A	A	A	B
rajsky	A	A	B	C
ramenny	A	A	A	A
ranimy	A	A	A	B
rany	A	A	A	B
rasističny	A	A	A	A
rasovy	A	A	A	B
råstlinny	A	A	A	A
råstlinožerny	A	A	A	A
råstly	A	A	A	B
råvesničsky	A	A	B	C
råvnoběžny	A	A	A	A
råvnodušny	A	A	A	A
råvnoměrny	A	A	A	A
råvnopravny	A	A	A	A
råvnoznačny	A	A	A	A
råvny	A	A	A	A
råzbity	A	A	A	B
råzbojny	A	A	A	A
råzdražlivy	A	A	A	B
råzdražnjeny	A	A	A	B
råzdŕty	A	A	A	C
råzdrěny	A	A	A	B
råzgněvany	A	A	A	B
råzgovorny	A	A	A	A
råzhodny	A	A	A	A
raziteljny	A	A	A	A
råzjebany	A	A	A	B
råzkošny	A	A	A	A
råzličny	A	A	A	A
råzměšany	A	A	A	B
råznorodny	A	A	A	A
råzny	A	A	A	A
råzočarovany	A	A	A	B
råzpoznavajemy	A	A	A	B
råzprostrånjeny	A	A	A	B
råzsějany	A	A	A	B
råzsųdny	A	A	A	A
